DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P6016;P1894;P6020;P6040;P6051;P5502;P6071;P6071S1;P6074;P767;P6076;P6076S1;P6076S2;P6077;P6096;P6081;P6081S1;P6087;P6083;P6083S1;P6088;P6080;P5667;P1895;P1896;P1897;P1898;P1899;P1901;P1902;P1903;P1904;P1905;LLAVEHOG;FEX_C;N_HIJOS;N_NIETOS;P1910;P1911;P1912;P1710;P1710S1;P1710S2;P1710S3;P1710S4;P1710S5;P1710S6;P1710S7;P1710S8;P1710S9;P1084;P765;P765S1;P765S2;P765S3;P765S4;P765S5;P765S6;P765S7;P765S8;P1085;P1085S1;P1085S2;P1085S3;P1085S4;P1085S5;P1085S6;P1085S7;P1085S8;P1083;P1083S1;P1083S2;P1083S3;P1083S4;P1083S5;P1083S6;P1083S7;P1083S8;P1083S9;P1083S10;P1083S11;P1082;P1082S1;P1082S2;P5504;P5505;P5505S1;P5505S2;P769;P1080;P1080S1;P1080S2;P1080S3;P1080S4;P1080S5;P1080S6;P804;P805;P805S1;P805S2;P805S3;P805S4;P805S5
6000013;1;1;1;1;3;2;64;1;3;;;1;;;;;;;3;;2;3;;2;6;;8;8;8;10;9;10;7;7;0;8;60000131;1655.768908;1;1;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;;;;;;;;;;;1;;;;;;1;;;1;2;1;;;;;1;;1;;1;1;;;1;;;1;;;
6000013;2;1;2;2;3;2;37;3;5;;;1;;;;;;;3;;2;1;1;;6;;8;7;7;7;8;10;10;10;8;9;60000131;1655.768908;0;0;2;2;5;;1;1;1;1;1;1;1;2;2;1;;;1;;1;;;;;;1;;;;;;;;;;1;1;;1;;;;;;;1;2;1;;;;;1;;1;1;1;1;;;1;;1;1;;;
6000013;3;1;3;3;2;2;11;4;5;;;1;;;;;;;2;;4;1;2;;6;;;;;;;;;;;;60000131;1655.768908;0;0;5;2;1;;1;1;1;1;2;2;1;2;2;1;;;1;;;;;;;;1;;1;;;;;;;;1;1;;;1;;;;;;2;;;2;;;;;;;;;;;;5;;;;;;
6000048;1;1;1;1;3;2;57;1;3;;;1;;;;;;;3;;2;2;;1;6;;9;7;8;5;8;9;9;9;9;10;60000481;2119.931089;1;1;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;;1;2;;1;;;;;;2;;;1;;;
6000048;2;1;2;2;3;2;32;3;2;1;3;1;;;;;;;3;;2;1;1;;6;;6;3;5;7;3;4;5;5;4;6;60000481;2119.931089;0;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;1;;;;;;;;;;1;;;;;;;;;1;2;1;;;;;1;;1;1;1;1;;;3;;1;;;;
6000048;3;1;3;3;3;1;46;8;2;1;2;2;7;2;68;68689;1;5;2;;2;2;;2;6;;10;9;10;9;10;10;9;0;0;10;60000481;2119.931089;0;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;1;;;;;;;;;;1;;;;;;;;;1;2;1;;;;;1;;1;1;1;1;;;3;;1;;;;
6000048;4;1;4;4;2;2;14;4;5;;;1;;;;;;;1;3;;1;2;;6;;;;;;;;;;;;60000481;2119.931089;0;0;2;5;5;;1;1;1;2;2;1;2;2;2;2;;1;;;1;;;;;;;;1;;1;;;;;1;1;1;;;;;;;;;1;2;1;;;;;1;;1;;1;1;;;1;;1;;;;
6000052;1;1;1;1;3;2;58;1;3;;;1;;;;;;;3;;9;3;;1;6;;10;5;8;10;10;5;6;0;10;10;60000521;1611.551949;1;1;5;1;5;;1;1;1;1;2;2;2;2;2;1;;;1;;1;;;;;;1;;;;;;;;;;;1;;;;;1;;;;1;2;1;;;;;1;;1;;1;1;;;4;;1;;;;
6000052;2;1;2;2;3;2;30;3;5;;;1;;;;;;;3;;2;1;1;;6;;9;8;10;7;9;8;9;5;6;10;60000521;1611.551949;0;0;1;5;5;;1;1;1;1;1;1;1;1;2;1;;1;;;1;;;;;;1;1;;;;;;;;1;;1;;;;;;;;;1;2;1;;;;;1;;1;1;1;1;;;5;;;;;;
6000052;3;1;3;3;2;2;13;4;5;;;1;;;;;;;2;;8;1;2;;6;;;;;;;;;;;;60000521;1611.551949;0;0;2;1;1;;1;1;1;1;1;1;1;1;2;1;;1;1;1;1;;;;;;1;;;;;;;;;1;1;1;;;1;;1;;;;1;2;1;;;;;2;;1;;1;1;;;5;;;;;;
6000053;1;1;1;1;3;2;40;1;5;;;2;4;2;68;68669;2;8;2;;2;2;;2;6;;8;6;7;6;8;7;7;6;5;10;60000531;2347.700598;1;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;2;;;1;;;
6000053;2;1;2;1;1;2;7;3;;;;2;4;2;68;68669;2;9;2;;10;1;1;;6;;;;;;;;;;;;60000531;2347.700598;0;0;3;5;5;;2;2;2;2;2;2;2;2;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;5;;;;;;
