"DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","NRO_ENCUESTA","ORDEN","P6016","P6020","P6040","P6051","P5502","P6071","P6071S1","P6074","P767","P6076","P6076S1","P6076S2","P6077","P6096","P6081","P6081S1","P6087","P6083","P6083S1","P6088","P6080","P5667","LLAVEHOG","FEX_C","N_HIJOS","N_NIETOS"
"5000017","1","1","592","1","1","2","56","1","5",,,"2","0","2","47","47288","1","9","3",,"2","2",,"2","5",,"50000171","2956.1643247549","1","2"
"5000017","2","1","592","2","2","1","30","3","2","2",,"2","1","2","76","76001","1","10","2",,"4","1","1",,"5",,"50000171","2956.1643247549",NULL,NULL
"5000017","3","1","592","3","1","1","7","4",,,,"2","0","2","47","47288","1","9","1","2",,"2",,"4","5",,"50000171","2956.1643247549",NULL,NULL
"5000017","4","1","592","4","1","2","5","4",,,,"2","0","2","47","47288","1","9","1","2",,"2",,"4","5",,"50000171","2956.1643247549",NULL,NULL
"5000032","1","1","592","1","1","2","81","1","3",,,"1",,,,,,,"3",,"1","3",,"1","6",,"50000321","1309.23366821642","2","1"
"5000032","2","1","592","2","2","2","51","3","5",,,"1",,,,,,,"3",,"3","1","1",,"6",,"50000321","1309.23366821642",NULL,NULL
"5000032","3","1","592","3","3","1","49","3","5",,,"1",,,,,,,"3",,"4","1","1",,"6",,"50000321","1309.23366821642",NULL,NULL
"5000032","4","1","592","4","4","2","28","4","6","2",,"1",,,,,,,"2",,"6","2",,"8","6",,"50000321","1309.23366821642",NULL,NULL
"5000042","1","1","592","1","1","2","45","1","3",,,"1",,,,,,,"2",,"2","2",,"2","6",,"50000421","2526.13900008698","2",NULL
"5000042","2","1","592","2","1","2","16","3","5",,,"1",,,,,,,"3",,"4","1","1",,"6",,"50000421","2526.13900008698",NULL,NULL
"5000042","3","1","592","3","1","1","14","3","5",,,"1",,,,,,,"3",,"4","1","1",,"6",,"50000421","2526.13900008698",NULL,NULL
"5000070","1","1","592","1","1","2","39","1","5",,,"1",,,,,,,"1","5",,"1","6",,"5",,"50000701","2063.22172285473","3",NULL
"5000070","2","1","592","2","1","2","14","3","5",,,"1",,,,,,,"2",,"4","1","1",,"5",,"50000701","2063.22172285473",NULL,NULL
"5000070","3","1","592","3","3","1","10","3","5",,,"1",,,,,,,"2",,"2","1","1",,"5",,"50000701","2063.22172285473",NULL,NULL
"5000070","4","1","592","4","4","2","6","3",,,,"1",,,,,,,"2",,"4","1","1",,"5",,"50000701","2063.22172285473",NULL,NULL
"5000070","5","1","592","5","5","1","65","5","2","1","6","1",,,,,,,"3",,"4","2",,"1","5",,"50000701","2063.22172285473",NULL,NULL
"5000070","6","1","592","6","6","2","60","5","2","1","5","1",,,,,,,"3",,"2","2",,"1","5",,"50000701","2063.22172285473",NULL,NULL
"5000072","1","1","592","1","1","2","77","1","3",,,"1",,,,,,,"3",,"2","3",,"2","6",,"50000721","1765.37585301524","1","1"
"5000072","2","1","592","2","2","2","54","3","4",,,"1",,,,,,,"3",,"8","1","1",,"6",,"50000721","1765.37585301524",NULL,NULL
"5000072","3","1","592","3","3","1","19","4","5",,,"1",,,,,,,"2",,"4","1","2",,"6",,"50000721","1765.37585301524",NULL,NULL
"5000114","1","1","592","1","1","2","48","1","3",,,"1",,,,,,,"2",,"9","2",,"1","1","800_02","50001141","952.364929439792","3",NULL
"5000114","2","1","592","2","2","1","20","3","5",,,"1",,,,,,,"3",,"1","1","1",,"6",,"50001141","952.364929439792",NULL,NULL
"5000114","3","1","592","3","3","2","8","3",,,,"1",,,,,,,"3",,"1","1","1",,"6",,"50001141","952.364929439792",NULL,NULL
"5000114","4","1","592","4","1","2","6","3",,,,"1",,,,,,,"3",,"1","1","1",,"6",,"50001141","952.364929439792",NULL,NULL
"5000191","1","1","592","1","1","2","51","1","5",,,"1",,,,,,,"3",,"6","3",,"4","5",,"50001911","34.2595094200724","1",NULL
"5000191","2","1","592","2","2","1","24","3","5",,,"1",,,,,,,"2",,"10","1","1",,"3",,"50001911","34.2595094200724",NULL,NULL
"5000207","1","1","592","1","1","2","49","1","5",,,"1",,,,,,,"3",,"1","2",,"1","6",,"50002071","1159.05542615711","1",NULL
"5000207","2","1","592","2","2","2","22","3","5",,,"1",,,,,,,"2",,"6","1","1",,"6",,"50002071","1159.05542615711",NULL,NULL
"5000217","1","1","592","1","1","2","51","1","5",,,"2","19","2","25","25513","1","1","3",,"1","3",,"2","6",,"50002171","1300.35878027451","2",NULL
"5000217","2","1","592","2","2","1","22","3","5",,,"2","19","2","25","25513","1","9","2",,"1","1","1",,"6",,"50002171","1300.35878027451",NULL,NULL
"5000217","3","1","592","3","3","1","13","3","5",,,"1",,,,,,,"2",,"1","1","1",,"6",,"50002171","1300.35878027451",NULL,NULL
"5000221","1","1","592","1","1","2","41","1","3",,,"1",,,,,,,"3",,"4","2",,"4","6",,"50002211","1159.05542615711","1",NULL
